clientId,status,manifestRequests,noticeRequests,noticeRetries,bytes,manifestDetectedMs,endToEndMs
1,ready,2,2,1,636,4319.92,7756.59
2,ready,1,2,1,636,1069.75,3433.22
3,ready,1,1,0,636,2438.64,4311.21
4,ready,1,1,0,636,1070.04,3112.42
5,ready,1,1,0,636,1304.2,2530.74
6,ready,3,1,0,636,6548.93,9151.54
7,ready,1,1,0,636,1221.67,3030.01
8,ready,1,1,0,636,1301.78,2667.79
9,ready,1,1,0,636,1693.83,3973.52
10,ready,1,1,0,636,1399.7,3852.4
11,ready,1,1,0,636,2076.28,3187.18
12,ready,1,1,0,636,1352.44,2912.84
13,ready,1,1,0,636,1412.36,3489.59
14,ready,1,1,0,636,1488.08,3771.42
15,ready,1,1,0,636,1237.22,3252.13
16,ready,1,1,0,636,2212.54,4280.22
17,ready,1,1,0,636,1100.12,3573.01
18,ready,1,1,0,636,2235.03,4684.77
19,ready,1,1,0,636,2468.73,4808.75
20,ready,1,1,0,636,1527.01,3283.22
21,ready,1,1,0,636,1207.13,3467.04
22,ready,1,1,0,636,2544.23,3849.06
23,ready,1,1,0,636,2161.24,3348.4
24,ready,1,2,1,636,1366.35,3893.69
25,ready,1,1,0,636,1340.38,2911.64
26,ready,1,1,0,636,1144.18,2565.24
27,ready,1,1,0,636,1429.38,3564.39
28,ready,1,1,0,636,1301.8,2979.31
29,ready,1,1,0,636,1610.85,3138.11
30,ready,1,1,0,636,2013.89,4453.25
31,ready,1,1,0,636,1488.12,3839.4
32,ready,1,1,0,636,2345.65,4453.22
33,ready,1,1,0,636,1497.26,2911.6
34,ready,1,2,1,636,2183.15,5261.48
35,ready,2,1,0,636,3498.35,5096.35
36,ready,2,2,1,636,3257.25,4865.89
37,ready,1,1,0,636,1226.51,2682.14
38,ready,1,1,0,636,1472.57,3189.69
39,ready,1,1,0,636,2076.45,4370.86
40,ready,1,1,0,636,1310.09,3381.18
41,ready,2,1,0,636,3330.96,5584.3
42,ready,1,2,1,636,1934.55,4388.27
43,ready,1,1,0,636,1785.34,3252.15
44,ready,1,1,0,636,1785.35,3233.61
45,ready,1,2,1,636,1561.67,3528.72
46,ready,1,1,0,636,1412.39,3399.49
47,ready,1,1,0,636,1260.08,3293.89
48,notice_fetch_failed,1,3,2,240,2491.04,4478.93
49,ready,1,3,2,636,1389.14,5531.49
50,ready,1,1,0,636,1252.46,3181.31
51,ready,1,1,0,636,1897.37,3449.14
52,ready,1,1,0,636,1146.91,2696.11
53,ready,1,1,0,636,1074.91,2633.5
54,ready,2,1,0,636,3534.2,4501.3
55,ready,1,1,0,636,1722.24,3553.44
56,ready,1,1,0,636,1390.63,2774.94
57,ready,1,1,0,636,2533.22,4071.75
58,ready,1,2,1,636,2470.18,5151.7
59,ready,1,1,0,636,2005.63,4216.61
60,ready,2,1,0,636,3966.48,6168.4
61,ready,1,1,0,636,1676.82,3432.08
62,ready,2,1,0,636,3454.94,5179.59
63,ready,1,1,0,636,1150.05,2891.54
64,ready,1,1,0,636,2204.14,3285.61
65,ready,1,2,1,636,1699.32,3682.68
66,ready,2,1,0,636,4169.45,5897.29
67,ready,1,1,0,636,2161.18,4325.8
68,ready,1,1,0,636,1209.01,2410.17
69,ready,1,1,0,636,2558.16,3886.33
70,ready,1,1,0,636,2375.81,4022.71
71,ready,1,1,0,636,1677.12,3640.61
72,ready,1,1,0,636,1887.69,3029.69
73,ready,2,2,1,636,3458.25,5120.52
74,ready,1,1,0,636,1109.37,3353.92
75,ready,1,1,0,636,1315.44,2928.33
76,ready,1,1,0,636,1202.9,2774.99
77,ready,2,1,0,636,3881.4,5963.31
78,ready,1,1,0,636,1156.21,3486.82
79,ready,1,1,0,636,1310.15,3169.17
80,ready,1,1,0,636,1597.37,2929.66
81,ready,1,1,0,636,1150.02,2837.23
82,ready,1,1,0,636,1443.78,3883.79
83,ready,1,1,0,636,1301.7,3747
84,ready,1,1,0,636,2204.16,3796.14
85,ready,1,1,0,636,1610.89,3918.89
86,ready,1,1,0,636,1116.59,3029.66
87,ready,1,1,0,636,1390.44,3769.09
88,ready,1,1,0,636,2242.76,3937.4
89,ready,3,2,1,636,6849.34,9877.68
90,ready,1,1,0,636,1995.35,3869.47
91,ready,1,1,0,636,2280.01,3937.43
92,ready,1,1,0,636,1289.72,3135.34
93,ready,1,1,0,636,2438.71,4887.96
94,ready,1,2,1,636,2609.35,5366.98
95,ready,1,1,0,636,1563.09,3189.72
96,ready,1,2,1,636,2053.9,3986.15
97,ready,1,1,0,636,1869.01,2775.01
98,ready,1,2,1,636,1340.32,4331.04
99,ready,1,2,1,636,1643.16,4268.49
100,ready,1,1,0,636,1889.11,4418.83
101,ready,1,1,0,636,1133.3,3169.15
102,ready,1,1,0,636,1194.94,2642.18
103,ready,1,1,0,636,1808.32,3716.51
104,ready,1,1,0,636,1409.63,3135.04
105,ready,1,1,0,636,1730.32,3029.71
106,ready,1,1,0,636,1387.7,3032.39
107,ready,1,2,1,636,1178.2,3952.74
108,ready,2,2,1,636,3434.91,5696.16
109,ready,1,2,1,636,1221.7,4363.42
110,ready,2,1,0,636,4319.9,5666.24
111,ready,1,1,0,636,1349.29,3726.22
112,ready,1,1,0,636,2101.73,4450.85
113,ready,3,1,0,636,6718.7,7922.29
114,ready,1,1,0,636,2047.16,4187.79
115,ready,1,1,0,636,1941.04,3543.03
116,ready,2,1,0,636,3750.17,5703.15
117,ready,1,1,0,636,1130.06,2575.16
118,ready,1,1,0,636,1073.85,3507.08
119,ready,1,1,0,636,1389.1,3126.11
120,ready,1,2,1,636,1982.55,4253.57
121,ready,1,1,0,636,1612.15,3507.06
122,ready,1,2,1,636,1071.78,4569.63
123,ready,1,1,0,636,1785.41,3729.42
124,ready,3,1,0,636,5921.3,7663.36
125,ready,2,1,0,636,3889.06,5342.4
126,ready,2,1,0,636,3308.6,5462.01
127,ready,1,1,0,636,1982.49,4453.19
128,ready,1,1,0,636,1785.39,3476.49
129,ready,1,1,0,636,1366.3,3030.15
130,ready,1,1,0,636,2374.53,3306.4
131,ready,1,1,0,636,1887.77,3874.19
132,ready,1,1,0,636,2244,4417.61
133,ready,1,1,0,636,1226.44,3029.65
134,ready,1,1,0,636,2305.35,4706.61
135,ready,1,1,0,636,1979.98,3420.44
136,ready,1,1,0,636,1436.38,3798.3
137,ready,1,1,0,636,1480.96,3286.35
138,ready,2,1,0,636,3881.32,6068.19
139,ready,1,1,0,636,1202.93,2981.66
140,ready,1,1,0,636,1350.56,3426.18
141,ready,2,1,0,636,3321.98,5783.24
142,ready,1,1,0,636,1470.84,2620.28
143,ready,1,1,0,636,2404.35,3509.87
144,ready,1,1,0,636,1994.08,3029.63
145,ready,1,1,0,636,1340.43,3056.79
146,ready,1,1,0,636,1886.31,3642.99
147,ready,2,3,2,636,4412.24,8441.73
148,ready,1,1,0,636,1094.06,3102.29
149,ready,1,1,0,636,1389.18,2940.12
150,ready,1,1,0,636,1366.24,3256.24
151,ready,1,1,0,636,2495.18,4745.11
152,ready,2,1,0,636,4044.13,6537.81
153,ready,1,1,0,636,1871.65,3097.97
154,ready,3,1,0,636,6074.64,8306.03
155,ready,1,1,0,636,1565.84,3961.1
156,ready,1,2,1,636,2544.28,5034.66
157,ready,1,1,0,636,1399.67,3269.08
158,ready,1,2,1,636,2279.95,4140.14
159,ready,1,1,0,636,1983.89,3144.35
160,ready,1,2,1,636,1871.67,3839.38
161,ready,1,1,0,636,1941.06,3348.37
162,ready,1,1,0,636,1399.58,3639.22
163,ready,1,2,1,636,1838.74,4584.76
164,ready,1,1,0,636,2440.15,4090.48
165,ready,1,1,0,636,1472.45,3841.27
166,ready,1,1,0,636,1958.41,3364.36
167,ready,1,2,1,636,1887.75,3522.52
168,ready,1,1,0,636,2235,3656.08
169,ready,1,1,0,636,2279.92,3525.88
170,ready,1,1,0,636,2212.56,3733.26
171,ready,1,1,0,636,2040.17,3098.46
172,ready,1,1,0,636,1609.36,4040.14
173,ready,1,1,0,636,1533.43,2929.73
174,ready,1,1,0,636,1221.63,2795.01
175,ready,1,1,0,636,1187.56,3621.72
176,ready,2,1,0,636,3610.11,4693.91
177,ready,1,1,0,636,1069.96,3232.38
178,ready,1,1,0,636,1867.42,3358.01
179,ready,1,2,1,636,1190.14,2878.17
180,ready,1,1,0,636,1116.65,2329.21
181,ready,1,1,0,636,2470.14,4877.99
182,ready,2,1,0,636,4738.08,6678.68
183,ready,1,1,0,636,1367.27,3553.46
184,ready,1,1,0,636,2279.98,4347.86
185,ready,1,1,0,636,2306.61,3891.52
186,ready,1,1,0,636,1206.99,3056.7
187,ready,1,1,0,636,2346.93,4728.92
188,ready,1,1,0,636,1610.79,3184.33
189,ready,1,1,0,636,1528.48,2682.03
190,ready,1,1,0,636,2353.02,4661.63
191,ready,1,2,1,636,1983.87,4328.32
192,ready,1,1,0,636,1098.24,2329.18
193,ready,1,1,0,636,1173.01,2562.75
194,ready,1,1,0,636,2267.21,3206.77
195,ready,1,1,0,636,1323.05,2775.14
196,ready,1,1,0,636,1429.25,2774.98
197,ready,1,3,2,636,1887.78,5979.46
198,ready,1,1,0,636,1867.38,2983.86
199,ready,1,1,0,636,1252.39,2774.96
200,ready,1,1,0,636,1958.24,3399.5
201,ready,2,1,0,636,4552.58,5954.66
202,ready,1,1,0,636,1990.61,3527.37
203,ready,1,1,0,636,1532.97,2775.17
204,ready,1,1,0,636,1077.55,3169.14
205,ready,1,1,0,636,1194.99,3144.39
206,ready,2,1,0,636,3262.54,4779.08
207,ready,1,1,0,636,1497.16,3098.03
208,ready,1,1,0,636,1728.33,3355.52
209,ready,1,1,0,636,1399.46,3749.54
210,ready,1,1,0,636,1215.14,2981.76
211,ready,1,1,0,636,1489.51,2667.87
212,ready,1,1,0,636,1958.44,4335.81
213,ready,1,2,1,636,1257.17,4038.95
214,ready,1,1,0,636,1152.89,3098.38
215,ready,2,1,0,636,3501.85,5238.78
216,ready,1,1,0,636,1437.92,2912.89
217,ready,2,1,0,636,4437.85,5344.9
218,ready,1,1,0,636,1717.05,4072.13
219,ready,1,1,0,636,1323.01,3236.19
220,ready,1,1,0,636,1252.42,3256.21
221,ready,1,1,0,636,1693.88,3277.57
222,ready,1,2,1,636,1369.57,4895.1
223,ready,2,1,0,636,4569.46,5780.71
224,ready,1,1,0,636,1411.01,2803.3
225,ready,1,3,2,636,1676.93,5084.51
226,ready,1,3,2,636,1958.27,4908.42
227,ready,2,1,0,636,4112.85,5489.16
228,ready,2,1,0,636,3449.11,5465.05
229,ready,1,1,0,636,1869.05,4353.65
230,ready,2,1,0,636,3385.83,4328.3
231,ready,1,1,0,636,1315.38,3364.34
