clientId,status,manifestRequests,noticeRequests,noticeRetries,bytes,manifestDetectedMs,endToEndMs
1,ready,1,1,0,636,5748.09,14640.02
2,ready,2,1,0,636,25392.88,29895.31
3,ready,1,1,0,636,18526.51,23021.81
4,ready,2,1,0,636,26034.08,31034.5
5,ready,2,1,0,636,26996.51,32308.76
6,ready,1,1,0,636,13946.74,19344.49
7,ready,3,1,0,636,27977.87,31757.78
8,ready,1,1,0,636,5748.73,14661.28
9,ready,1,1,0,636,13150.11,18505.33
10,ready,1,1,0,636,11792.67,16836.85
11,ready,1,1,0,636,17692.28,21906.79
12,ready,2,1,0,636,25747.97,30140.86
13,ready,2,2,1,636,13353.72,31052.72
14,ready,1,2,1,636,13913.62,66107.34
15,ready,2,2,1,636,26060.72,31970.37
16,ready,1,1,0,636,13946.84,18173.48
17,ready,2,1,0,636,25392.9,30186.65
18,ready,1,1,0,636,11796.61,16269.71
19,ready,1,1,0,636,18236.93,22738.97
20,ready,2,1,0,636,27014.52,31880.49
21,ready,1,1,0,636,15678.25,20114.36
22,ready,3,2,1,636,16775.58,21287.08
23,ready,1,1,0,636,13940.92,18437.47
24,ready,1,2,1,636,16875.11,23010.88
25,ready,1,1,0,636,21689.68,26898.16
26,ready,2,1,0,636,13345.18,18369.97
27,ready,2,1,0,636,27273.81,31968.87
28,ready,1,2,1,636,13149.93,65275.41
29,ready,1,1,0,636,9720.32,16814.56
30,ready,1,1,0,636,20444.86,24270.14
31,ready,3,1,0,636,28894.22,33954.01
32,ready,1,1,0,636,13901.83,18633.85
33,ready,2,1,0,636,26312.58,30343.97
34,ready,2,2,1,636,13326.02,18979.94
35,ready,1,1,0,636,11798.03,26211.24
36,ready,2,1,0,636,27024.97,32307.72
37,ready,3,1,0,636,28603.78,32345.09
38,ready,2,1,0,636,26184.28,30476.98
39,ready,1,1,0,636,11794.25,16096.15
40,ready,2,1,0,636,27039.26,31124.22
41,ready,2,1,0,636,13327.41,18001.47
42,ready,2,1,0,636,25554,29889.46
43,ready,3,1,0,636,28684.1,32874.5
44,ready,2,1,0,636,27285.13,31714.79
45,ready,2,1,0,636,25823.97,30003.92
46,ready,2,1,0,636,26003.12,31189.23
47,ready,1,1,0,636,22854.92,27207.83
48,ready,2,1,0,636,27273.95,32816.53
49,ready,1,1,0,636,23278.15,27311.91
50,ready,2,1,0,636,27269.74,31674.68
51,ready,2,1,0,636,27235.26,32453.26
52,ready,3,1,0,636,28430.32,33359.2
53,ready,2,2,1,636,27043.45,32840.13
54,ready,1,1,0,636,19208.94,24102.54
55,ready,2,2,1,636,25647.44,31717.06
56,ready,2,1,0,636,25898.77,30225.55
57,ready,2,2,1,636,11801.65,18039.83
58,ready,2,1,0,636,13365.86,18913.55
59,ready,1,1,0,636,21606.42,25716.69
60,ready,1,3,2,636,11794.77,18852.14
61,ready,1,1,0,636,19031.82,23191.37
62,ready,2,1,0,636,27032.34,31295.5
63,ready,2,1,0,636,26019.92,30953.27
64,ready,3,1,0,636,28688.03,33680.25
65,ready,2,1,0,636,25746.96,30548.34
66,ready,1,1,0,636,16664.61,21177.38
67,ready,3,1,0,636,16775.61,20568.39
68,ready,2,1,0,636,27280.3,32265.59
69,ready,1,1,0,636,13870.55,19279.43
70,ready,1,1,0,636,18493.36,23007.83
71,ready,2,1,0,636,27030.35,31080.53
72,ready,1,1,0,636,11166.6,16351.35
73,ready,2,2,1,636,13341.21,18383.67
74,ready,1,1,0,636,18149.57,28290.96
75,ready,3,1,0,636,23255.28,27385.06
76,ready,1,1,0,636,11802.81,20446.81
77,ready,1,1,0,636,13997.84,19137.12
78,ready,1,1,0,636,11788.89,16744
79,ready,1,1,0,636,16111.11,20926.64
80,ready,2,2,1,636,11801.09,17936.48
81,ready,2,1,0,636,25392.98,30507.29
82,ready,2,1,0,636,27491.19,32213.63
83,ready,3,1,0,636,28971.09,33011.68
84,ready,2,1,0,636,13329.93,17549.48
85,ready,3,1,0,636,28045.29,33284.49
86,ready,3,1,0,636,29090.72,34001.29
87,ready,2,1,0,636,27044.8,31812.82
88,ready,1,2,1,636,11802.73,17569.35
89,ready,2,2,1,636,13344.81,65893.79
90,ready,1,1,0,636,11162.12,33028.05
91,ready,1,1,0,636,18319.3,22054.04
92,ready,1,1,0,636,11166.41,26590.04
93,ready,2,1,0,636,27284.42,31715.07
94,ready,1,2,1,636,20924.05,27402.6
95,ready,2,1,0,636,25128.9,29433.88
96,ready,2,1,0,636,25775.62,29895.28
97,ready,2,1,0,636,11803.83,16501.07
98,ready,2,1,0,636,27237,31138.13
99,ready,2,1,0,636,27026.78,32145.36
100,ready,1,2,1,636,21605.13,28249.17
101,ready,1,2,1,636,17085.71,23478.9
102,ready,2,1,0,636,13326.07,17192.85
103,ready,2,1,0,636,13353.17,27032.88
104,ready,2,1,0,636,27385.27,31765.06
105,ready,2,1,0,636,27030.04,31122.06
106,ready,3,1,0,636,28373.01,33889.53
107,ready,1,1,0,636,5747.73,14661.53
108,ready,1,1,0,636,20367.92,25132.92
109,ready,1,1,0,636,13881.32,22439.73
110,ready,1,2,1,636,13901.76,19950.44
111,ready,1,2,1,636,19196.44,25183.16
112,ready,2,2,1,636,28006.37,33889.38
113,ready,1,1,0,636,11789.17,19201.32
114,ready,1,1,0,636,16698.13,21472.42
115,ready,2,1,0,636,25679.15,30400.19
116,ready,2,1,0,636,25910.3,30751.18
117,ready,1,1,0,636,14075.91,19591.78
118,ready,2,1,0,636,27032.99,30959.9
119,ready,2,1,0,636,26235.48,30256.31
120,ready,2,1,0,636,25442.82,30362.71
121,ready,3,1,0,636,28783.52,33580.94
122,ready,2,1,0,636,25944.6,30463.4
123,ready,3,1,0,636,16189.65,20490.72
124,ready,2,1,0,636,25527.88,30122.14
125,ready,2,1,0,636,25725.79,29971.25
126,ready,2,1,0,636,25946.4,31000.07
127,ready,2,1,0,636,27007.73,32308.8
128,ready,2,1,0,636,25717.41,30359.21
129,ready,1,1,0,636,13117.56,17550.39
130,ready,1,1,0,636,13150.43,18241.75
131,ready,2,1,0,636,25430.65,30698.39
132,ready,1,1,0,636,21670.47,26018.99
133,ready,2,2,1,636,25633.21,30380.71
134,ready,2,1,0,636,25366.86,30593.25
135,ready,1,2,1,636,11787.52,24098.48
136,ready,1,1,0,636,20296.05,24264.41
137,ready,1,1,0,636,11166.25,28429.75
138,ready,1,1,0,636,13997.86,19076.16
139,ready,1,1,0,636,11162.72,26347.67
140,ready,2,1,0,636,13330.47,26989.59
141,ready,2,1,0,636,27533.43,31867.41
142,ready,1,1,0,636,11789.3,19546.21
143,ready,2,1,0,636,13383.95,17261.81
144,ready,2,1,0,636,13344.95,18107.37
145,ready,1,1,0,636,19031.94,23715.72
146,ready,2,1,0,636,26998.33,30990.75
147,ready,2,1,0,636,28013.02,33007.4
148,ready,1,1,0,636,5748.57,14640.32
149,ready,1,1,0,636,14405.33,19976.88
150,ready,1,1,0,636,5748.68,14661.81
151,ready,1,1,0,636,11165.94,16454
152,ready,1,1,0,636,17788.37,21607.68
153,ready,1,1,0,636,15287.06,19441.77
154,ready,2,1,0,636,27020.84,31280.98
155,ready,2,1,0,636,27045.38,32140.26
156,ready,2,1,0,636,11803.85,16862.01
157,ready,3,1,0,636,18687.4,22451.36
158,ready,1,1,0,636,13104.1,17555.01
159,ready,3,1,0,636,28418.92,32816.58
160,ready,1,2,1,636,11787.14,28713.81
161,ready,2,1,0,636,13327.2,18385.18
162,ready,1,1,0,636,13940.95,19417.22
163,ready,2,2,1,636,27002.61,31992.14
164,ready,2,1,0,636,27624.36,32363.15
165,ready,2,1,0,636,13341.88,17915.72
166,ready,2,1,0,636,25653.86,29655.49
167,ready,2,1,0,636,26019.93,30707.18
168,ready,1,2,1,636,11790.78,63060.99
169,ready,1,1,0,636,13973.77,24100.43
170,ready,2,1,0,636,25947.55,31228.2
171,ready,1,2,1,636,13104.43,18242.59
172,ready,1,1,0,636,18236.98,23562.18
173,ready,1,1,0,636,17498.02,21688.38
174,ready,1,1,0,636,11166.09,29620.53
175,ready,2,1,0,636,13327.45,18172
176,ready,2,1,0,636,26993.93,32010.12
177,ready,2,2,1,636,13330.6,18242.47
178,ready,1,2,1,636,13940.66,64752.3
179,ready,2,2,1,636,27014.9,32167.39
180,ready,2,1,0,636,25767.86,30316.64
181,ready,1,1,0,636,5748.54,12907.96
182,ready,2,1,0,636,26237.34,31431.33
183,ready,1,2,1,636,5748.62,20957.33
184,ready,1,1,0,636,13150.44,19691.23
185,ready,1,2,1,636,13913.69,18978.28
186,ready,1,1,0,636,16875.14,21459.11
187,ready,2,1,0,636,27533.33,31975.93
188,ready,2,1,0,636,26022.64,30036.57
189,ready,1,2,1,636,11799.04,30136.15
190,ready,2,1,0,636,25966.76,30903.65
191,ready,1,1,0,636,19198.5,25132.1
192,ready,1,2,1,636,11795.46,17236.55
193,ready,2,1,0,636,26010.06,31053.43
194,ready,2,1,0,636,26989.92,31950.55
195,ready,3,1,0,636,28602.07,33395.16
196,ready,2,1,0,636,27236.74,31514.85
197,ready,1,1,0,636,14012.12,23475.07
198,ready,1,1,0,636,16993.92,21542.85
199,ready,1,1,0,636,11788.73,16186.88
200,ready,1,1,0,636,15400.93,20457.92
201,ready,2,1,0,636,13330.85,18121.67
202,ready,2,1,0,636,25961.32,31248.9
203,ready,2,1,0,636,27502.86,33077.23
204,ready,1,2,1,636,13939,19301.72
205,ready,1,1,0,636,14021.97,18533.28
206,ready,3,1,0,636,28546.3,33352.38
207,ready,2,1,0,636,25947.56,30833.31
208,ready,1,2,1,636,13949.49,19000.57
209,ready,1,1,0,636,11165.52,26100.52
210,ready,2,2,1,636,13330.61,26898.19
211,ready,1,1,0,636,21611.74,26973.19
212,ready,2,2,1,636,27032.94,31799.35
213,ready,3,1,0,636,28865.48,33442.96
214,ready,2,1,0,636,13353.59,18351.75
215,ready,2,1,0,636,11802.92,17088.82
216,ready,2,1,0,636,26075.74,31408.36
217,ready,1,1,0,636,15146.5,19253.04
218,ready,2,1,0,636,13353.4,17915.7
219,ready,2,1,0,636,13345.31,18007.88
220,ready,1,2,1,636,11802.38,16811.83
221,ready,3,2,1,636,28235.3,33009.05
222,ready,2,1,0,636,28045.23,32036.4
223,ready,1,2,1,636,11787.53,30112.7
224,ready,1,1,0,636,16698.36,20622.91
225,ready,1,2,1,636,21039.2,27211.34
226,ready,2,1,0,636,25653.89,30081.79
227,ready,1,1,0,636,18759.08,22940.85
228,ready,1,1,0,636,13870.51,18436.93
229,ready,1,1,0,636,15185.1,19526.55
230,ready,2,1,0,636,25988.95,30903.7
231,ready,1,1,0,636,17129.94,22014.95
232,ready,1,1,0,636,16684.36,21083
233,ready,1,1,0,636,11164.61,16351.46
234,ready,1,1,0,636,20924.11,25437.84
235,ready,3,2,1,636,28960.87,35218.95
236,ready,2,1,0,636,25963.36,30751.26
237,ready,2,1,0,636,11800.33,25216.9
238,ready,2,1,0,636,27033.06,31335.12
239,ready,1,1,0,636,13687.62,18851.3
240,ready,1,1,0,636,11787.38,16813.15
241,ready,1,1,0,636,19970.87,25190.6
242,ready,2,1,0,636,27237.04,31159.04
243,ready,1,1,0,636,13913.47,18398.39
244,ready,2,1,0,636,26028.19,31075.75
245,ready,1,1,0,636,17085.84,20989.86
246,ready,1,1,0,636,11161.85,26477.34
247,ready,1,2,1,636,5748.89,17729.46
248,ready,1,1,0,636,21708.19,26278.68
249,ready,1,1,0,636,19420.33,24264.59
250,ready,2,1,0,636,27288.01,31723.38
251,notice_fetch_failed,1,3,2,240,11794.34,26212.57
252,ready,2,2,1,636,25996.65,31664.85
253,ready,1,1,0,636,11802.28,17570.88
254,ready,1,1,0,636,19032.02,24261.22
255,ready,1,1,0,636,16839.24,21919.63
256,ready,1,1,0,636,13917.27,18559.76
257,ready,1,2,1,636,13150.79,19019.95
258,ready,2,1,0,636,25710.97,31072.74
259,ready,1,1,0,636,14029.94,18120.37
260,ready,2,1,0,636,11804.34,16781.26
261,ready,2,2,1,636,27833.46,33284.54
262,ready,2,1,0,636,11800.41,17087.25
263,ready,4,1,0,636,29605.36,34850.96
264,ready,2,1,0,636,26062.26,31277.92
265,ready,2,1,0,636,13330.02,17568.06
266,ready,1,3,2,636,13937.24,21049.96
267,ready,1,2,1,636,13110.77,30230.87
268,ready,2,1,0,636,25182.98,30427.15
269,ready,2,1,0,636,27028.22,32011.73
270,ready,1,1,0,636,13881.35,18399.07
271,ready,1,1,0,636,13946.75,19090.08
272,ready,1,1,0,636,13110.83,17462.77
273,ready,1,1,0,636,9719.46,28295.47
274,ready,3,1,0,636,15560.65,20520.83
275,ready,1,1,0,636,18195.98,23338.67
276,ready,3,1,0,636,28832.53,33467.15
277,ready,1,1,0,636,13110.54,18039.88
278,ready,1,1,0,636,13948.19,23476.98
279,ready,2,1,0,636,27008.25,32042.08
280,ready,2,1,0,636,25203.72,29624.92
