clientId,status,manifestRequests,noticeRequests,noticeRetries,bytes,manifestDetectedMs,endToEndMs
1,ready,1,2,1,636,17620.28,50162.41
2,ready,1,3,2,669,17622.8,53463.01
3,ready,3,2,1,702,28502.45,35659.72
4,ready,1,3,2,636,21262.71,54336.32
5,ready,2,1,0,636,26731.47,31076.39
6,ready,1,2,1,636,25212.55,30296.21
7,ready,1,1,0,636,21269.19,26449.15
8,ready,1,1,0,636,24523.74,28430.93
9,notice_fetch_failed,1,3,2,273,12496.96,52266.47
10,ready,1,2,1,669,21205.26,30987
11,ready,1,2,1,636,21233.88,53769.33
12,ready,1,2,1,669,21208.11,30912.28
13,notice_fetch_failed,1,3,2,240,21243.94,52258.61
14,ready,1,2,1,636,17599.8,27928.18
15,ready,1,3,2,636,17572.31,44820.06
16,notice_fetch_failed,1,3,2,240,21244.44,51739.81
17,ready,1,3,2,636,17573.81,57981.41
18,ready,1,2,1,669,21215.68,29743.83
19,ready,1,3,2,636,21178.13,57740.65
20,ready,1,1,0,636,24516.76,29242.79
21,ready,2,1,0,636,27488.39,32739.38
22,ready,1,3,2,669,21170.7,31716.22
23,ready,4,1,0,636,59783.82,63746.33
24,ready,2,1,0,636,43463.48,48691.34
25,ready,1,2,1,669,17599.07,30218.88
26,ready,1,3,2,669,17592.12,47175.7
27,ready,2,1,0,636,31441.68,37607.62
28,ready,1,2,1,669,21239.06,30112.49
29,notice_fetch_failed,1,3,2,240,21205.62,51773.59
30,ready,1,2,1,636,39692.42,58348.94
31,ready,1,2,1,636,21248.18,50162.36
32,ready,3,1,0,669,28100.98,33100.76
33,ready,1,2,1,636,21203.58,51408.46
34,ready,1,3,2,669,17578.47,30182.62
35,ready,1,3,2,636,21158.7,59164.58
36,ready,1,3,2,669,21231.09,56026.34
37,notice_fetch_failed,1,3,2,273,21207.05,42956.4
38,ready,1,3,2,669,21212.38,31291.45
39,ready,1,2,1,636,17609.71,54664.22
40,notice_fetch_failed,1,3,2,240,17605.52,38612.4
41,ready,1,2,1,636,17620.15,54113.21
42,ready,2,1,0,669,27023.91,31087.19
43,ready,2,1,0,636,26719.74,31873.02
44,ready,1,1,0,636,31152.58,37607.23
45,ready,1,3,2,669,17624.39,52938.57
46,ready,1,1,0,636,12497.48,24439.24
47,ready,1,2,1,636,17599.53,50273.62
48,ready,2,1,0,636,26718.37,30981.5
49,ready,1,1,0,636,31147.09,35344.1
50,ready,5,2,1,669,58269.26,62999.73
51,ready,1,1,0,636,27180.14,32702.77
52,ready,1,1,0,636,26702.19,31755.04
53,ready,1,2,1,636,17623.77,49297.25
54,ready,1,2,1,636,21248.34,44838.24
55,ready,3,1,0,702,30215.36,34342.83
56,ready,1,3,2,636,17628.26,54714.65
57,ready,1,3,2,669,12498.41,28625.33
58,ready,1,1,0,636,28322.99,32793.1
59,ready,1,1,0,636,26704.21,32288.09
60,ready,1,3,2,636,17600.76,54702.09
61,ready,1,2,1,636,21266.93,50783.75
62,ready,1,2,1,636,17617.35,51651.5
63,ready,1,2,1,636,17610.28,50845.96
64,ready,2,1,0,636,29601.78,33739.43
65,ready,2,1,0,636,29599.93,34801.45
66,ready,1,3,2,636,21179.52,55603.77
67,ready,1,3,2,636,17591.61,57344.76
68,ready,1,2,1,636,21209.01,52983.3
69,ready,1,2,1,636,25207.52,31481.63
70,ready,1,1,0,636,31147.18,35659.84
71,ready,1,2,1,636,21181.47,40925.64
72,ready,4,2,1,669,28057.98,33613.46
73,ready,1,3,2,669,21216.36,52566.53
74,ready,1,2,1,636,21203.91,44839.74
75,ready,1,1,0,636,39695.17,56050.3
76,ready,5,1,0,702,62636.74,66975.28
77,ready,1,2,1,636,21142.87,44839.71
78,ready,1,2,1,636,26709.12,32718.34
79,ready,4,1,0,669,58750.69,63383.51
80,ready,1,2,1,636,17629.15,40925.75
81,ready,1,1,0,636,27168.21,32744.4
82,ready,4,1,0,669,31445.05,37607.27
83,ready,2,2,1,669,34019.36,52893.76
84,notice_fetch_failed,1,3,2,273,17594.79,26492.52
85,ready,3,1,0,669,52955.93,57542.73
86,notice_fetch_failed,1,3,2,273,12498.36,52251.93
87,ready,2,1,0,636,43468.54,48120.82
88,ready,1,2,1,669,17619.77,29476.98
89,ready,1,2,1,636,17590.85,54873.82
90,ready,1,1,0,636,24817.01,29081.27
91,notice_fetch_failed,1,3,2,240,21183.91,51745.72
92,ready,2,2,1,636,21209.88,42608.89
93,ready,2,2,1,636,38561.1,58496.34
94,ready,1,1,0,636,21178.11,26441.19
95,ready,1,1,0,636,43453.01,48703.73
96,notice_fetch_failed,1,3,2,273,12495.6,52275.65
97,ready,1,2,1,669,21246.51,30226.87
98,ready,1,2,1,636,21213.02,51165.02
99,notice_fetch_failed,1,3,2,240,21241.64,52232.17
100,ready,1,3,2,669,17605.09,52758.03
101,ready,1,2,1,636,17627.64,48079.53
102,ready,1,1,0,636,24516.08,29080.41
103,ready,1,2,1,669,21231.38,29630.78
104,ready,1,2,1,636,17598.73,44820.44
105,ready,1,3,2,636,21244.62,59124.71
106,ready,2,1,0,636,25210.51,30378.69
107,ready,1,3,2,669,17627.26,56602.39
108,ready,5,1,0,702,58377.68,63536.73
109,notice_fetch_failed,1,3,2,240,21187.9,51758.96
110,ready,1,3,2,669,17627.08,31276.07
111,notice_fetch_failed,1,3,2,273,12496.91,51772.19
112,notice_fetch_failed,1,3,2,240,17608.71,51761.82
113,ready,2,1,0,636,43453.29,49310.49
114,ready,1,1,0,636,25209.46,29220.25
115,notice_fetch_failed,1,3,2,240,17623.84,37894.47
116,ready,1,2,1,636,21205.88,42609.02
117,ready,1,3,2,669,21176.55,52332.56
118,ready,1,2,1,636,17620.19,48624.1
119,ready,3,1,0,702,31372.96,37607.31
120,ready,1,1,0,636,17618.2,26468.53
121,ready,1,2,1,669,17608.26,29476.19
122,ready,1,2,1,669,21243.34,30217.7
123,ready,4,1,0,669,58488.42,62882.66
124,ready,1,2,1,669,21261.16,30159.72
125,ready,1,2,1,636,21166.41,44814.75
126,ready,1,2,1,669,21120.46,29668.45
127,notice_fetch_failed,1,3,2,240,21216.15,52256.47
128,ready,1,1,0,636,12500.39,24439.82
129,ready,1,2,1,669,21176.57,29082.72
130,ready,1,3,2,669,21261.15,48684.41
131,ready,1,2,1,636,17627.74,52757.79
132,ready,1,1,0,636,21235,27928.15
133,ready,2,1,0,636,29599.83,34375.51
134,notice_fetch_failed,1,3,2,240,17603.2,52239.03
135,notice_fetch_failed,1,3,2,273,21216.97,42780.08
136,ready,1,1,0,636,43460.91,48154.16
137,ready,1,2,1,636,17597.13,48120.14
138,ready,1,3,2,636,21208.59,58467.22
139,ready,1,2,1,636,21179.04,44839.15
140,ready,1,2,1,636,17606.95,50779.42
141,ready,2,1,0,669,27274.42,32739.4
142,ready,1,2,1,636,21172.36,51302.32
143,ready,1,3,2,636,21243.73,57934.94
144,ready,1,3,2,669,17591.9,48366.32
145,ready,1,1,0,636,26703.6,30862.7
146,ready,1,2,1,669,17573.17,30225.95
147,ready,1,2,1,636,21179.48,51505.98
148,ready,2,2,1,669,38561.13,57099.21
149,notice_fetch_failed,1,3,2,240,21163.96,52245.86
150,notice_fetch_failed,1,3,2,240,21220.82,51761.77
151,ready,1,2,1,636,21269.39,44821.66
152,ready,1,2,1,669,21183.06,30187.49
153,notice_fetch_failed,1,3,2,240,17592.54,38487.44
154,ready,1,1,0,636,21176.82,26442.59
155,ready,1,1,0,636,21216.16,27926.67
156,ready,1,1,0,636,41615.48,46666.23
157,ready,1,2,1,636,21175.01,44823.24
158,ready,2,2,1,636,38563.56,57741.9
159,ready,1,2,1,636,21172.94,52108.38
160,ready,3,1,0,636,49489.77,54725.6
161,ready,1,2,1,636,17607.5,42556.14
162,ready,1,1,0,636,4767.98,29082.56
